Date,Open,High,Low,Close,Volume,DailyReturn,CNYUSD,SSE_Close,SSE_Return,Vol_20d,Vol_60d
2015-01-06,12.464902694489806,13.120116865665238,12.36044852389549,12.765604972839355,41667201,0.0017388999384919668,6.2125,3351.446044921875,0.0002766741335407108,,
2015-01-07,12.74028173261375,12.74028173261375,12.312968096240658,12.325629234313965,33502194,-0.03446571779884322,6.2127,3373.9541015625,0.0067159239143144145,,
2015-01-08,12.32246322821682,12.407925224439952,12.148372366702814,12.189520835876465,20675355,-0.011042713994558695,6.2143,3293.4560546875,-0.0238586668495937,,
2015-01-09,12.19901837348802,12.502885700197819,12.138877738677689,12.167365074157715,25545282,-0.0018176072724319647,6.2085,3285.412109375,-0.002442402503306851,,
2015-01-12,12.180025963917457,12.76560429199742,12.180025963917457,12.49655532836914,34046562,0.027055180164733628,6.2027,3229.31591796875,-0.017074324175703315,,
2015-01-13,12.661148724818004,12.942859701198538,12.502884060119147,12.76243782043457,39981255,0.021276462599403967,6.197,3235.301025390625,0.0018533669587952328,,
2015-01-14,12.756109117428787,12.882719595374994,12.344621668118435,12.49655532836914,20968251,-0.02083320567797098,6.1957,3222.43701171875,-0.003976141190856208,,
2015-01-15,12.534538364322856,12.623166330121867,12.211678893257014,12.369942665100098,17872650,-0.010131805120856985,6.187,3336.455078125,0.03538255860133521,,
2015-01-16,12.379438048919225,12.55985993406251,12.278149856440075,12.525041580200195,21819690,0.012538369764452106,6.2065,3376.4951171875,0.012000772713835373,,
2015-01-19,12.477562712144938,12.797256194306721,11.961620248512318,12.126215934753418,32401341,-0.03184226119274913,6.2065,3116.35107421875,-0.07704558541919071,,
2015-01-20,12.167364740088757,12.455405862022939,12.11672109262367,12.328794479370117,26251371,0.016705833518609436,6.2137,3173.052001953125,0.018194653421258034,,
2015-01-21,12.373109003016431,12.591514318823856,12.328794565978617,12.49655532836914,27763101,0.013607238670393818,6.2112,3323.611083984375,0.047449295485411325,,
2015-01-22,12.550364863864987,12.645322948147788,12.40792637904672,12.6010103225708,28588395,0.008358702975093557,6.2085,3343.343994140625,0.005937189899064332,,
2015-01-23,12.645323168341978,12.965017594611316,12.623166855167675,12.695968627929688,42444438,0.007535769190570196,6.2279,3351.763916015625,0.002518413268199904,,
2015-01-26,12.75610902611321,12.914373707206101,12.521876609842737,12.692802429199219,28588251,-0.00024938614951386384,6.2535,3383.181884765625,0.009373562559068294,,
